id,domain,feature,status,priority,what_it_does,evidence
B13,B) Lead Intake & Extraction,Public itinerary checker,LIVE,P1,"Anonymous checker with rate limiting, live Open-Meteo enrichment, retention sweep",`spine_api/routers/public_checker.py`; `src/public_checker/live_checks.py`
B14,B) Lead Intake & Extraction,Voice copilot transcript extraction,LIVE,P2,Consultation transcripts to structured intake packets,`spine_api/services/voice_copilot.py`
C01,C) Decision Engine & Suitability,Gap-and-decision engine (10 phases),LIVE,P0,"Ambiguity, budget feasibility/decomposition, contradictions, urgency, MVB blockers, question generation",`src/intake/decision.py:1942`
C02,C) Decision Engine & Suitability,NB02 / D1 autonomy gate,PARTIAL,P0,"Per-agency autonomy policy with hard STOP safety invariant. Shipped: per-decision-state `auto/review/block` gates. NOT shipped: ADR-008 `money_execution_mode` rungs (fully_human/hybrid/fully_autonomous) — ratified 2026-09-09, unimplemented (FND-0261)",`src/intake/config/agency_settings.py:55-115`; `src/intake/gates.py:156`; `Docs/architecture/adr/ADR-008-AGENCY_BOUNDARY_AND_AUTONOMY_RUNGS_2026-09-06.md`
C03,C) Decision Engine & Suitability,Suitability matrix D4/D6,LIVE,P0,"Activity catalog scoring, context penalties, confidence clamping, critical flags halt the spine",`src/suitability/scoring.py:128`; `src/suitability/integration.py`
C04,C) Decision Engine & Suitability,Hybrid rules→cache→LLM decision engine,GATED,P1,Credential-gated LLM upgrade path with circuit breaker; default off (`USE_HYBRID_DECISION_ENGINE=1` to enable),`src/intake/decision.py:40`; `src/decision/hybrid_engine.py`
C05,C) Decision Engine & Suitability,Operator overrides + safety invariants,LIVE,P0,Suppress/downgrade/acknowledge risk flags; document/visa/leakage flags can never be suppressed,`src/decision/override_learning.py:54`
C06,C) Decision Engine & Suitability,Override learning + pattern mining,LIVE,P1,Cross-trip override patterns (min strength 2) applied on every decision run,`src/decision/override_learning.py:376`; `src/decision/pattern_matching.py`
C07,C) Decision Engine & Suitability,KDD override clustering,LIVE,P2,"Feature extraction, clustering, persisted override clusters + jobs API",`src/analytics/kdd/`; `spine_api/routers/kdd.py`
C08,C) Decision Engine & Suitability,Commercial lifecycle scoring,LIVE,P1,Ghost/window-shopper/churn/repeat risk feeding commercial action choice incl. Ghost Concierge recovery,`src/intake/decision.py:1484`; `src/intake/lifecycle.py`
C09,C) Decision Engine & Suitability,Group consensus + Pareto resolution,LIVE,P1,Multi-traveler preference harmonization with outlier protection,`src/decision/group_consensus.py`; `src/decision/group_pareto_engine.py`
C10,C) Decision Engine & Suitability,Counterfactual recovery,LIVE,P2,Three-way replanning alternatives on disruption or rejection,`src/decision/counterfactual_recovery.py`; `spine_api/services/counterfactual_engine.py`
C11,C) Decision Engine & Suitability,Journey dependency graph + ripple,LIVE,P2,"BFS dependency traversals, co-terminal transfer ripple propagation",`src/schemas/journey_graph.py`; `spine_api/routers/journey_graph.py`
D01,"D) Proposal, Content & Traveler Surfaces",Proposal compiler,LIVE,P0,"Epistemic parse, inventory costing, margin optimization, JDG feasibility, shareable proposal",`src/orchestration/proposal_compiler.py:64`
D02,"D) Proposal, Content & Traveler Surfaces",Session strategy + sanitized bundles,LIVE,P0,Internal vs traveler-safe prompt bundles with forbidden-concept leakage scan,`src/intake/strategy.py:972`; `src/intake/safety.py`
D03,"D) Proposal, Content & Traveler Surfaces",Tiered readiness computation,LIVE,P1,Proposal/booking readiness tiers; never auto-advances stage,`src/intake/readiness.py:276`
D04,"D) Proposal, Content & Traveler Surfaces",Public proposal portal,LIVE,P0,"Tokenized view, option recalculation, e-signature acceptance with audit",`spine_api/routers/public_proposals.py`; `frontend/src/app/p/[token]/page.tsx`
D05,"D) Proposal, Content & Traveler Surfaces",Trust scorecard,LIVE,P1,"""Why this option"" explainability, internal + public proposal routes",`spine_api/routers/trust_scorecard.py`
D06,"D) Proposal, Content & Traveler Surfaces",Booking-data collection links,LIVE,P0,Single-use SHA-256 hashed tokens; traveler submits data + documents; operator accept/reject,`spine_api/services/collection_service.py`; `spine_api/routers/public_collection.py`
D07,"D) Proposal, Content & Traveler Surfaces",Document upload validation + scanner,LIVE,P1,"Magic-byte validation, streaming size cap, scanner abstraction, extraction attempts",`spine_api/services/document_service.py`; `spine_api/routers/trip_documents.py`
D08,"D) Proposal, Content & Traveler Surfaces",Luxury itinerary PDF / e-voucher compiler,LIVE,P2,Vector HTML/CSS document generation for itineraries and vouchers,`src/compilers/itinerary_export_engine.py`; `Docs/architecture/ADVANCED_INTERNAL_SYSTEMS_AND_COMPILERS_2026-09-03.md`
D09,"D) Proposal, Content & Traveler Surfaces",Pre-departure briefing cadence,PARTIAL,P2,"Automated D-7 / D-3 / D-1 traveler briefings. ORPHANED (FND-0261): module implemented but has no router, scheduler, or pipeline caller — nothing automates the cadence",`src/briefing/pre_departure_cadence.py` (zero non-test importers)
D10,"D) Proposal, Content & Traveler Surfaces",Persona Council panel,SIMULATED,P1,Labeled demo council surface; not live inference,`frontend/src/app/(agency)/workbench/PersonaCouncilPanel.tsx`; `Docs/exploration/AGENTIC_DEEP_AUDIT_SYNTHESIS_2026-08-31.md`
D11,"D) Proposal, Content & Traveler Surfaces",Frontier dashboard panel,SIMULATED,P1,Labeled demo frontier surface; orchestrator heuristics exist behind tier gates,`frontend/src/components/workspace/FrontierDashboard.tsx`; `src/intake/frontier_orchestrator.py:45`
D12,"D) Proposal, Content & Traveler Surfaces",Time-travel scrubber + invertible history,LIVE,P2,Undo/redo snapshot stack over trip state with UI scrubber,`src/state/mutation_history_stack.py`; `frontend/src/app/(agency)/workbench/TimeTravelScrubber.tsx`
D13,"D) Proposal, Content & Traveler Surfaces",Traveler companion PWA,LIVE,P2,"Trip card, alerts, documents, emergency radio for travelers",`frontend/src/app/(traveler)/companion/`
D14,"D) Proposal, Content & Traveler Surfaces",Group share + deposit collection,LIVE,P1,"Tokenized passenger share pages, multi-payer split deposits",`frontend/src/app/g/[token]/page.tsx`; `spine_api/routers/group_booking.py`
E01,"E) Pricing, Money & Suppliers",Risk-adjusted fee engine,LIVE,P1,Severity-scaled service fee multipliers,`src/fees/calculation.py`
E02,"E) Pricing, Money & Suppliers",Settlement engine,LIVE,P1,"FX slippage buffers, VCC issuance, staged deposit/balance schedules, sub-agent splits",`src/fees/settlement_engine.py`
E03,"E) Pricing, Money & Suppliers",Payment queue + tracking,LIVE,P0,Bucketed payment queue (overdue/due-soon) and per-trip payment records,`spine_api/services/payment_queue_service.py`; `spine_api/server.py:2577`
E04,"E) Pricing, Money & Suppliers",Commission reconciliation + split settlement,PARTIAL,P1,"Supplier commission and IC split ledgers — in-memory store, not yet durable",`spine_api/services/commission_reconciliation.py`; `spine_api/routers/commission.py`
E05,"E) Pricing, Money & Suppliers",Sub-agent IC payout portal,PARTIAL,P2,Advisor commission ledger + payout authorization — in-memory store,`spine_api/routers/subagent_payouts.py`
E06,"E) Pricing, Money & Suppliers",FX risk sentinel,LIVE,P2,Dynamic FX exposure and hedging recommendations,`spine_api/routers/fx_sentinel.py`
E07,"E) Pricing, Money & Suppliers",India tax compliance (TCS 206C(1G) / GST),LIVE,P1,Statutory computation with sourcing cost ledger,`src/fees/tax_compliance.py`; `spine_api/routers/tax_compliance.py`
E08,"E) Pricing, Money & Suppliers",Accounting export bridge,PARTIAL,P2,Tally XML / QuickBooks JSON invoice export. ORPHANED (FND-0261): module implemented but no endpoint exposes the export,`src/accounting/export_bridge.py` (zero non-test importers)
E09,"E) Pricing, Money & Suppliers","Negotiation suite (bargaining, fee-waiver, margin optimizer)",LIVE,P1,"Game-theoretic counter rounds, penalty-waiver requests, dynamic take-rate with 10 percent floor",`src/negotiation/bargaining_engine.py:90`; `src/negotiation/margin_optimizer.py`
E10,"E) Pricing, Money & Suppliers",Price-lock sentinel,LIVE,P1,"72h quote-window rate-drop audits, optimistic-locked re-lock with per-trip idempotency keys",`spine_api/routers/price_lock.py:196`
E11,"E) Pricing, Money & Suppliers",Supplier contracts,LIVE,P1,DMC / preferred-supplier / wholesale contract registry backing price-lock,`spine_api/routers/supplier.py`
E12,"E) Pricing, Money & Suppliers",Yield arbitrage,LIVE,P2,"Bedbank/GDS/CRS rate-parity scans, multi-property benchmark, re-ticketing",`src/yield_arbitrage/rate_parity_engine.py`
E13,"E) Pricing, Money & Suppliers",Sourcing hierarchy resolver,STUB,P2,internal→preferred→network→open_market ladder defined; resolver intentionally not implemented (defaults to open_market),`src/intake/sourcing_path.py`
E14,"E) Pricing, Money & Suppliers",Payment mandates ledger,GATED,P2,"Consent-digested payment mandate tracking. Default-off pending ADR-008 ratification (open P0 FND-0185 / AT-15) — not ""live with no special gate"" (FND-0261)",`src/financial/payment_mandates.py`; `Docs/review/FINDINGS_LIVE.md` FND-0185
E15,"E) Pricing, Money & Suppliers",Charter aviation + empty-leg arbitrage,LIVE,P2,"Fleet selection, runway feasibility, FBO/eAPIS filings, empty-leg matching",`src/charter/aviation_engine.py`; `spine_api/routers/charter_aviation.py`
F01,F) Distribution & GDS,Sabre sandbox adapter,PARTIAL,P2,"BFM pricing + PNR create/delete shapes via deterministic sandbox adapter. No credentials are ever read; endpoints return `provider_connected: false` with `computation_method: ""deterministic sandbox adapter; no network call""` (FND-0261)",`src/distribution/sabre_sandbox_adapter.py`; `spine_api/routers/gds_sandbox.py:33-45`
F02,F) Distribution & GDS,Amadeus sandbox adapter,PARTIAL,P2,Offer search + order flow shapes via deterministic sandbox adapter. No credentials are ever read; endpoints return `provider_connected: false` (FND-0261),`src/distribution/amadeus_sandbox_adapter.py`
F03,F) Distribution & GDS,NDC 21.3 Offer/Order client,LIVE,P2,IATA NDC 21.3 offer/order lifecycle,`src/distribution/ndc_client.py`
F04,F) Distribution & GDS,EDIFACT parser + ATPCO fare rules,LIVE,P2,"Cryptic-command PNR parsing, Cat 16/35 rules, ADM prevention",`src/distribution/edifact_parser.py`; `src/distribution/fare_rules_engine.py`
F05,F) Distribution & GDS,Distribution API surface,PARTIAL,P2,GDS/NDC endpoints return PREVIEW_ONLY metadata; no live carrier connection,`spine_api/routers/distribution.py:85`
F06,F) Distribution & GDS,GDS sandbox workbench panel,LIVE,P2,Dual-GDS query UI for operators,`frontend/src/app/(agency)/workbench/GDSSandboxPanel.tsx`
G01,"G) In-Trip, Crisis & Duty of Care",Ghost concierge,PARTIAL,P1,Flight telemetry to connection-risk detection with proactive recovery actions. ORPHANED (FND-0261): zero serving-path callers — `/ghost/*` routes only insert/read a `GhostWorkflow` row and never invoke the engine,`spine_api/services/ghost_concierge.py` (zero non-test importers)
G02,"G) In-Trip, Crisis & Duty of Care",Disruption radar + rebooking copilot,PARTIAL,P2,"Flight disruption preview alerts + deterministic rebooking options. Router self-describes: ""no live feed is connected"", every response tagged `DETERMINISTIC_PREVIEW`; rebook refuses to mutate booking state (FND-0261 — G03's honesty applied here)",`spine_api/routers/disruption_radar.py:2; 80`
G03,"G) In-Trip, Crisis & Duty of Care",IROPS auto-healer,PARTIAL,P1,Deterministic recovery-plan preview only; strips operative actions until carrier connectivity lands,`spine_api/routers/irops_healer.py:2`
G04,"G) In-Trip, Crisis & Duty of Care",Crisis ops + evacuation engine,LIVE,P1,Multi-modal evacuation routing bypassing compromised airspace,`spine_api/routers/crisis_ops.py`; `src/crisis/evacuation_engine.py`
G05,"G) In-Trip, Crisis & Duty of Care",Safety beacons + STEP manifests + ground dispatch,LIVE,P1,"I-am-safe check-ins, consular manifests, driver dispatch with SOS messaging",`src/crisis/safety_beacon.py`; `src/crisis/ground_dispatch.py`
G06,"G) In-Trip, Crisis & Duty of Care",Duty-of-care radar,LIVE,P1,"Crisis declaration, traveler beacons, escalation posture",`src/orchestration/duty_of_care_radar.py`
G07,"G) In-Trip, Crisis & Duty of Care",Passenger rights claims,LIVE,P2,EU261 / US-DOT claim generation,`src/decision/passenger_rights.py`; `spine_api/routers/passenger_rights.py`
G08,"G) In-Trip, Crisis & Duty of Care",Insurance CFAR sentinel,LIVE,P2,CFAR window and coverage deadline monitoring,`spine_api/routers/insurance.py`
G09,"G) In-Trip, Crisis & Duty of Care",Loyalty programs,LIVE,P2,Traveler loyalty account tracking,`spine_api/routers/loyalty.py`
G10,"G) In-Trip, Crisis & Duty of Care",Post-trip feedback / NPS,LIVE,P2,Post-trip feedback extraction and NPS capture,`spine_api/routers/feedback.py`; `src/intake/extractors.py` post_trip mode
G11,"G) In-Trip, Crisis & Duty of Care",Perishable deadline sentinel,LIVE,P1,"Visa deadlines, ticketing TTLs, CFAR windows, deposit milestones, penalty cutoffs",`src/monitoring/perishable_sentinel.py`
G12,"G) In-Trip, Crisis & Duty of Care",Corporate policy engine,LIVE,P1,"Seniority-tier class rules, per-diem caps, approval chains, duty-of-care grading",`src/corporate/policy_engine.py`; `spine_api/routers/corporate_policy.py`
G13,"G) In-Trip, Crisis & Duty of Care",Stress benchmark,LIVE,P2,500+ concurrent IROPS scenario simulation with P99 and VCC throughput,`src/benchmarking/stress_simulator.py`; `spine_api/routers/stress_benchmark.py`
H01,H) Memory & CRM,5-tier traveler memory graph,LIVE,P1,"Working/episodic/semantic/procedural/preference tiers with authority weights, decay, supersession",`src/memory/models.py`; `src/memory/store.py`
H02,H) Memory & CRM,Customer memory API,LIVE,P1,Agent memory and CRM graph endpoints,`spine_api/routers/customer_memory.py`
H03,H) Memory & CRM,Repeat-traveler relationship graph,LIVE,P1,Cross-trip companion/family entities with recall card UI,`src/memory/` semantic tier; `frontend/src/app/(agency)/workbench/RepeatTravelerRecallCard.tsx`
H04,H) Memory & CRM,GDPR Article 17 erasure,LIVE,P1,Cascading erasure with signed forget certificates,`src/memory/gdpr_engine.py`
H05,H) Memory & CRM,PII guard + retention enforcer + jurisdiction policy,LIVE,P1,"Regex+SpaCy PII detection, retention SLAs, GDPR/DPDP/US rules",`src/security/privacy_guard.py`; `src/security/retention_enforcer.py`
H06,H) Memory & CRM,Memory architect panel,LIVE,P2,Operator view of memory graph state,`frontend/src/app/(agency)/workbench/MemoryArchitectPanel.tsx`
I01,I) Agent Runtime & Ops Reliability,Supervised product-agent fleet,LIVE,P1,"FrontDoor triage, SalesActivation SLA follow-ups, FollowUp, QualityEscalation, DocumentReadiness, DestinationIntelligence, WeatherPivot",`src/agents/runtime.py`
I02,I) Agent Runtime & Ops Reliability,Durable work leases + fencing tokens,LIVE,P1,SQL-backed leases with monotonic fencing vs split-brain/double-booking,`spine_api/services/agent_work_coordinator.py`; `src/orchestration/agent_lease.py`
I03,I) Agent Runtime & Ops Reliability,Requeue worker + recovery agent + supervisor,LIVE,P1,"5s requeue loop with SKIP LOCKED leasing, 300s stuck-trip recovery, 300s agent ticks",`spine_api/services/agent_requeue_jobs.py`; `src/agents/recovery_agent.py`
I04,I) Agent Runtime & Ops Reliability,DLQ inspector + step checkpoints,LIVE,P2,"Poison-job inspection with redaction, counterfactual patch and replay, checkpoint/resume",`src/agents/dlq_inspector.py`; `src/agents/checkpoints.py`
I05,I) Agent Runtime & Ops Reliability,Zombie reaper + integrity watchdog,LIVE,P1,Child-process reaping (5s) and dashboard-sum drift detection (600s),`spine_api/server.py:1806`; `spine_api/watchdog.py`
I06,I) Agent Runtime & Ops Reliability,Resilience engine,LIVE,P1,"Circuit breakers, degradation hierarchy, failure quarantine, compensation",`src/services/resilience_engine.py`; `spine_api/routers/resilience.py`
I07,I) Agent Runtime & Ops Reliability,Invertible state mutation stack,LIVE,P2,Undo/redo snapshots over trip state,`src/state/mutation_history_stack.py`; `spine_api/routers/trip_history.py`
I08,I) Agent Runtime & Ops Reliability,Agent intelligence graph builder,PARTIAL,P2,"Living navigation graph over docs/code for agent orientation. Developer tooling only (FND-0261): no CI job, no runtime/API/UI surface — artifact generated on demand",`tools/build_agent_intelligence_graph.py`; `Docs/context/AGENT_INTELLIGENCE_GRAPH.md`
J01,J) Evals & CI Quality Gates,D6 audit scaffold + gate snapshot,LIVE,P0,"Fixture runner, precision/recall metrics, gating categories block CI on failure",`src/evals/audit/`; `scripts/verify_d6_gate_snapshot.py`
J02,J) Evals & CI Quality Gates,30-scenario NB02 decision corpus,LIVE,P0,Scenarios graded live through run_gap_and_decision in CI,`src/evals/rules/scenarios.py`; `data/fixtures/test_scenarios.py`
J03,J) Evals & CI Quality Gates,Extraction / pipeline / activity eval lanes,LIVE,P1,Per-field P/R/F1 and activity gates; budget + colloquial currently gating,`src/evals/rules/`; `src/evals/audit/manifest.yaml`
J04,J) Evals & CI Quality Gates,LLM-as-judge scoring,GATED,P2,Per-agent weighted rubrics via LLM or heuristics; shadow status,`src/evals/judge/scorer.py`
J05,J) Evals & CI Quality Gates,Autoresearch + closed-loop learning,GATED,P2,Mutate-score-accept prompt/config search and fix-candidate shadow testing; experimental,`src/evals/autoresearch_loop.py`; `src/agents/closed_loop_learning.py`
J06,J) Evals & CI Quality Gates,Findings store v2 + lifecycle CI gate,LIVE,P1,"Append-only findings JSONL, minted IDs, stale-finding validation",`scripts/findings.py`; `Docs/review/FINDINGS_STORE.jsonl`
J07,J) Evals & CI Quality Gates,Route/OpenAPI snapshot parity + journey smoke in CI,LIVE,P1,Server route fixtures regenerated via snapshot script; journey smoke + findings gate in CI,`scripts/snapshot_server_routes.py`; `.github/workflows/ci.yml`
K01,K) Operator & Public Web Surfaces,Workbench cockpit,LIVE,P0,"Intake/packet/safety/council/frontier tabs, run progress, pipeline flow, repair banner",`frontend/src/app/(agency)/workbench/PageClient.tsx`
K02,K) Operator & Public Web Surfaces,Lead inbox,LIVE,P0,"Priority/SLA projection, filters, assign/snooze, bulk ops",`spine_api/routers/inbox.py`; `frontend/src/app/(agency)/inbox/`
K03,K) Operator & Public Web Surfaces,Trip workspace stage tabs,LIVE,P0,Intake/Details/Options/Quote Assessment/Output/Risk/Ops/Timeline with stage gating,`frontend/src/app/(agency)/trips/[tripId]/layout.tsx`; `frontend/src/lib/planning-status.ts`
K04,K) Operator & Public Web Surfaces,Quotes / Bookings / Payments / Reviews surfaces,LIVE,P0,"Commercial review, fulfillment records, payment tracking, approval queue",`frontend/src/app/(agency)/quotes/`; `frontend/src/app/(agency)/bookings/`; `frontend/src/app/(agency)/payments/`; `frontend/src/app/(agency)/reviews/`
K05,K) Operator & Public Web Surfaces,Insights + system dashboard,LIVE,P1,Ops/performance/revenue analytics and system health views,`frontend/src/app/(agency)/insights/`; `spine_api/routers/analytics.py`; `spine_api/routers/system_dashboard.py`
K06,K) Operator & Public Web Surfaces,Settings sections,LIVE,P0,"Agency profile, AI/autonomy, team, integrations, security, seasonal",`frontend/src/app/(agency)/settings/`
K07,K) Operator & Public Web Surfaces,Auth surfaces,LIVE,P0,"Login, signup, join-by-code, password reset",`frontend/src/app/(auth)/`
K08,K) Operator & Public Web Surfaces,Marketing landing v2–v5 + pricing,LIVE,P1,Landing iterations with v5 current; pricing page,`frontend/src/app/v5/`; `frontend/src/app/pricing/`
K09,K) Operator & Public Web Surfaces,Fast capture (intake/fast),PARTIAL,P1,Social/DM paste capture direct to backend; flagged fabricated-success in PER-0100,`frontend/src/app/intake/fast/`; `Docs/review/LAUNCH_READINESS_AUDIT_PER0100_2026-09-02.md`
K10,K) Operator & Public Web Surfaces,Corporate offsites landing,PARTIAL,P2,Offsites funnel page; flagged fabricated-success in PER-0100,`frontend/src/app/corporate/offsites/`
K11,K) Operator & Public Web Surfaces,Scenario lab + dev scenarios,GATED,P2,Scenario replay/testing UI behind NEXT_PUBLIC_ENABLE_SCENARIO_LAB,`frontend/src/app/(agency)/workbench/ScenarioLab.tsx`
K12,K) Operator & Public Web Surfaces,Knowledge base / seasons / suppliers surfaces,LIVE,P2,"KB, seasonal campaigns, supplier roster management",`frontend/src/app/(agency)/knowledge-base/`; `frontend/src/app/(agency)/seasons/`; `frontend/src/app/(agency)/suppliers/`
